"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
14JAN2010,1,3,14JAN2010,14SEP2014,11
10FEB2010,2,2,10FEB2010,01OCT2014,14
11FEB2010,3,2,11FEB2010,05DEC2013,11
27JAN2010,4,3,01AUG2011,,.
18FEB2010,5,3,18FEB2010,01OCT2014,10
19FEB2010,6,2,19FEB2010,01OCT2014,14
06MAR2010,7,2,06MAR2010,01OCT2014,14
15MAR2010,8,2,15MAR2010,,.
19MAR2010,9,3,19MAR2010,11NOV2015,24
23MAR2010,10,3,23MAR2010,,.
02APR2010,11,3,02APR2010,16APR2014,21
10APR2010,12,3,12APR2010,,.
14APR2010,13,3,14APR2010,21JAN2015,24
19MAR2010,14,2,19MAR2010,04JUL2016,30
30MAR2010,15,2,30MAR2010,14SEP2015,13
04APR2010,16,2,04APR2010,01OCT2014,14
09MAR2010,17,3,01AUG2011,20JAN2014,24
24APR2010,18,2,24APR2010,28JUN2017,24
02MAY2010,19,2,02MAY2010,14AUG2017,24
07MAY2010,20,3,07MAY2010,07SEP2016,25
08MAY2010,21,3,08MAY2010,01AUG2014,24
21MAY2010,22,3,21MAY2010,05JUN2013,21
21MAY2010,23,2,21MAY2010,09DEC2017,14
23MAY2010,24,2,23MAY2010,,.
28MAY2010,25,2,28MAY2010,04MAR2018,12
15JUN2010,26,2,15JUN2010,01JUL2010,02
20JUN2010,27,2,20JUN2010,01OCT2014,14
21JUN2010,28,2,21JUN2010,,.
23JUN2010,29,2,23JUN2010,10FEB2015,08
05JUL2010,30,2,05JUL2010,07APR2013,26
15JUN2010,31,3,15JUN2010,14AUG2013,24
19JUN2010,32,3,19JUN2010,07AUG2013,24
10JUL2010,33,3,10JUL2010,09NOV2015,30
12JUL2010,34,3,12JUL2010,09OCT2014,11
13JUL2010,35,3,13JUL2010,03MAR2014,10
29JUL2010,36,2,29JUL2010,,.
25AUG2010,37,2,25AUG2010,,.
15AUG2010,38,3,15AUG2010,01OCT2015,10
24AUG2010,39,3,24AUG2010,29MAY2017,14
28AUG2010,40,3,29AUG2010,16JAN2017,27
01SEP2010,41,3,01SEP2010,08FEB2016,24
01SEP2010,42,3,01SEP2010,16NOV2016,24
