"CowId","herd","OBSERVED_DATE","BODY_WGT"
1,3,21FEB2012,570
1,3,13JUN2012,533
1,3,16JAN2013,635
1,3,08JUN2013,695
3,2,23MAY2012,500
3,2,10SEP2013,625
4,3,21FEB2012,530
4,3,08AUG2012,563
4,3,16JAN2013,590
4,3,08JUN2013,700
5,3,21FEB2012,495
5,3,08JUN2013,580
8,2,19DEC2012,593
8,2,13FEB2014,635
9,3,21FEB2012,430
9,3,08JUN2013,600
10,3,21FEB2012,470
10,3,08JUN2013,640
10,3,13APR2016,815
10,3,09DEC2016,810
11,3,21FEB2012,510
11,3,10OCT2012,604
11,3,16JAN2013,610
12,3,21FEB2012,500
12,3,08JUN2013,700
12,3,13APR2016,775
12,3,09DEC2016,723
13,3,21FEB2012,460
13,3,16JAN2013,520
13,3,08JUN2013,600
14,2,14AUG2013,750
14,2,10SEP2013,750
15,2,23MAY2012,485
15,2,14AUG2013,625
17,3,21FEB2012,515
17,3,08JUN2013,640
18,2,04MAR2013,573
19,2,22NOV2012,677
19,2,15JAN2014,666
20,3,21FEB2012,490
20,3,10OCT2012,543
20,3,16JAN2013,565
20,3,08JUN2013,695
20,3,13APR2016,850
21,3,21FEB2012,510
22,3,21FEB2012,460
22,3,16JAN2013,670
23,2,22NOV2012,614
24,2,15DEC2013,625
25,2,22NOV2012,583
25,2,13FEB2014,604
28,2,04MAR2013,573
29,2,22NOV2012,573
31,3,21FEB2012,500
32,3,21FEB2012,430
33,3,21FEB2012,400
33,3,08JUN2013,590
34,3,21FEB2012,480
34,3,16JAN2013,580
34,3,08JUN2013,650
35,3,21FEB2012,550
35,3,08AUG2012,553
35,3,16JAN2013,630
36,2,15JAN2014,645
37,2,10SEP2013,750
38,3,21FEB2012,400
38,3,08JUN2013,630
39,3,21FEB2012,415
40,3,21FEB2012,430
40,3,08JUN2013,630
40,3,13APR2016,745
40,3,09DEC2016,770
41,3,21FEB2012,380
41,3,08JUN2013,550
42,3,21FEB2012,440
42,3,08JUN2013,600
42,3,13APR2016,830
44,2,04MAR2013,553
44,2,13FEB2014,645
45,2,04MAR2013,543
47,2,04MAR2013,604
48,3,21FEB2012,395
48,3,13APR2016,748
48,3,09DEC2016,760
49,2,14AUG2013,666
52,3,21FEB2012,390
53,3,21FEB2012,375
53,3,13APR2016,780
53,3,09DEC2016,815
55,3,21FEB2012,400
56,3,21FEB2012,420
56,3,08JUN2013,620
