"CowId","herd","LACT_NO","END_DATE","START_DATE","DAY_305_MILK","LACT_DATE_YLD_MILK","DAY_305_FAT","LACT_DATE_YLD_FAT","DAY_305_PROT","LACT_DATE_YLD_PROT","CUMUL_MILK_VALUE","CUMUL_FEED_COST"
1,3,1,07MAR2013,10MAY2012,7552,7551.81,289,289.02,253,253.45,5310,1779
1,3,2,15MAR2014,20APR2013,9679,10273.54,353,378.78,311,332.49,7315,2365
1,3,3,14SEP2014,08JUN2014,,4236.68,,119.20,,121.06,2762,783
3,2,1,26JAN2013,10FEB2012,7040,7822.50,248,280.13,198,223.18,5079,1852
3,2,2,05DEC2013,06AUG2013,,3286.43,,110.92,,90.39,2076,784
4,3,1,15AUG2013,21JUL2012,7923,9583.67,286,357.95,255,316.91,6734,2361
4,3,2,08SEP2014,11OCT2013,10027,10687.34,373,407.36,302,325.75,7799,2398
4,3,3,08SEP2015,28SEP2014,7145,7805.27,307,336.80,267,292.76,6236,
5,3,1,13JAN2014,18JAN2013,7392,8356.27,306,351.91,246,282.58,6418,2147
5,3,2,01OCT2014,19MAR2014,,6016.35,,240.05,,190.38,4625,1376
8,2,1,20SEP2013,11OCT2012,6612,7208.54,201,223.66,197,218.61,5431,
8,2,2,05FEB2015,18DEC2013,7404,9023.40,274,352.06,230,290.09,6746,3142
8,2,3,22AUG2016,11SEP2015,9358,10035.95,347,375.75,269,292.19,6849,
8,2,4,05OCT2017,18NOV2016,7788,7937.46,233,238.70,223,228.19,4508,
9,3,1,15MAR2014,13MAY2013,9006,9025.23,313,314.07,304,305.03,6389,2117
9,3,2,11NOV2015,06APR2014,9294,17200.49,310,618.75,328,617.27,12550,3469
10,3,2,21FEB2015,21FEB2014,8741,9631.49,294,325.99,273,304.24,6753,2517
10,3,3,04JUN2016,22MAY2015,10351,11405.99,312,356.57,313,348.96,6813,2407
10,3,4,18JUL2017,05JUL2016,8182,9145.81,269,304.04,251,284.89,5756,2892
11,3,1,29MAY2013,01SEP2012,5394,5394.34,258,258.02,194,193.69,4369,1537
11,3,2,16APR2014,24AUG2013,,5076.65,,253.34,,182.46,4488,1636
12,3,1,24JAN2014,19MAR2013,7855,7956.98,357,362.39,268,271.67,6486,2082
12,3,2,25MAR2015,01MAR2014,9653,11478.93,412,500.76,337,406.74,9468,2847
12,3,3,14SEP2016,18MAY2015,9516,12675.93,431,596.14,319,447.17,10248,3190
12,3,4,30NOV2017,24OCT2016,10591,13134.43,458,593.73,371,476.05,10235,3400
13,3,1,27OCT2013,06NOV2012,6361,7314.69,286,331.08,227,261.75,5896,
13,3,2,28NOV2014,21DEC2013,6655,7369.88,287,323.33,239,266.95,6173,2196
13,3,3,21JAN2015,05JAN2015,,,,,,,0,134
14,2,1,15JAN2014,05MAR2013,8062,8341.21,316,327.57,253,263.15,5939,2155
14,2,2,18APR2015,12MAR2014,9493,11486.31,344,421.48,288,358.48,7886,2774
14,2,3,04JUL2016,12JUL2015,8791,9830.49,311,361.05,267,303.23,5748,2308
15,2,2,31MAR2014,10MAR2013,7358,8992.01,262,331.07,215,269.80,6238,2977
15,2,3,14SEP2015,10NOV2014,9618,9682.35,356,359.47,293,295.44,6500,1986
18,2,1,01FEB2014,26SEP2012,7800,11299.45,244,382.71,220,337.97,7337,3344
18,2,2,20JUL2015,18MAY2014,9154,11676.10,270,372.22,260,348.52,7867,2986
18,2,3,30MAR2017,03NOV2015,11126,15581.44,394,586.50,321,481.64,10428,
19,2,1,01AUG2013,14AUG2012,6508,7473.18,233,273.25,195,226.55,4989,1519
19,2,2,01AUG2014,18SEP2013,7946,8178.60,284,292.16,240,248.07,5722,2277
19,2,3,23OCT2015,17NOV2014,9590,10282.59,325,352.84,280,304.33,6557,
19,2,4,20JAN2017,28DEC2015,7329,8890.15,283,343.42,222,280.27,5883,
19,2,5,14AUG2017,29MAR2017,,2395.56,,80.88,,75.50,1390,
20,3,1,19AUG2013,09SEP2012,6959,7628.60,285,318.09,232,256.08,5689,1969
20,3,2,10DEC2014,25SEP2013,7659,10267.70,354,479.15,259,353.26,8723,
20,3,3,30MAR2016,19FEB2015,8030,9933.73,346,444.30,275,342.73,7666,2481
20,3,4,07SEP2016,04MAY2016,,3099.27,,135.04,,96.41,2296,920
21,3,1,01AUG2014,17AUG2013,7777,8964.53,290,335.41,254,295.33,6694,1875
22,3,1,05JUN2013,18DEC2012,,3786.67,,165.51,,114.17,2892,1062
23,2,1,10FEB2014,07OCT2012,5234,8583.19,203,360.84,169,306.76,6740,2637
23,2,2,09AUG2015,24AUG2014,7585,8393.98,294,335.03,252,286.23,6346,2356
23,2,4,09DEC2017,18FEB2017,7168,7167.87,273,273.42,222,221.52,5240,
24,2,2,25DEC2014,16MAR2014,9153,9152.57,312,312.37,295,294.97,6123,1833
25,2,1,21NOV2013,09SEP2012,6659,9171.92,273,399.48,204,297.91,6988,
25,2,2,27FEB2015,09JAN2014,8193,10067.69,341,437.18,282,360.35,8360,3170
25,2,3,21FEB2017,15OCT2015,10448,14635.78,412,613.45,325,492.67,10811,
28,2,1,21NOV2013,24JAN2013,6302,6302.27,252,251.64,190,189.77,4242,
