"CowId","herd","LACT_NO","TEST_DATE","HR_24_MILK","FAT_PC","PROTEIN_PC","SCC","LACTOSE_PC","LACTATION_START_DATE"
1,3,1,13JUN2012,20.800,3.06,2.70,13.00,4.75,10MAY2012
1,3,1,12JUL2012,25.200,3.27,3.15,13.00,4.62,10MAY2012
1,3,1,08AUG2012,28.600,3.34,3.12,9.00,4.65,10MAY2012
1,3,1,11SEP2012,25.400,3.90,3.31,11.00,4.69,10MAY2012
1,3,1,10OCT2012,29.200,3.69,3.62,13.00,4.67,10MAY2012
1,3,1,14NOV2012,26.200,4.22,3.70,10.00,4.68,10MAY2012
1,3,1,12DEC2012,24.200,4.56,3.64,4119.00,4.58,10MAY2012
1,3,1,16JAN2013,24.200,4.20,3.58,724.00,4.67,10MAY2012
1,3,1,13FEB2013,24.000,4.32,3.44,575.00,4.67,10MAY2012
1,3,1,13MAR2013,,,,,,10MAY2012
1,3,1,10APR2013,,,,,,10MAY2012
1,3,2,08MAY2013,37.000,3.61,3.16,12.00,4.58,20APR2013
1,3,2,08JUN2013,41.400,2.80,2.95,9.00,4.75,20APR2013
1,3,2,24JUL2013,30.000,3.64,3.01,54.00,4.65,20APR2013
1,3,2,21AUG2013,31.400,3.71,3.15,10.00,4.54,20APR2013
1,3,2,08OCT2013,32.200,3.86,3.30,81.00,4.59,20APR2013
1,3,2,14NOV2013,28.800,3.99,3.40,58.00,4.52,20APR2013
1,3,2,17DEC2013,28.600,4.02,3.41,81.00,4.45,20APR2013
1,3,2,15JAN2014,27.200,3.85,3.56,70.00,,20APR2013
1,3,2,12FEB2014,26.200,4.04,3.36,88.00,4.49,20APR2013
1,3,2,14MAR2014,23.400,4.47,3.54,103.00,4.46,20APR2013
1,3,2,18APR2014,,,,,,20APR2013
1,3,2,14MAY2014,,,,,,20APR2013
1,3,3,11JUN2014,0.000,,,,,08JUN2014
1,3,3,09JUL2014,41.800,3.23,2.73,729.00,4.51,08JUN2014
1,3,3,13AUG2014,46.800,2.17,2.88,229.00,4.45,08JUN2014
1,3,3,10SEP2014,47.400,3.31,3.04,733.00,4.44,08JUN2014
1,3,3,14OCT2014,,,,,,08JUN2014
2,2,,,,,,,,
3,2,1,23FEB2012,25.400,5.00,3.05,74.00,4.51,10FEB2012
3,2,1,22MAR2012,22.900,3.65,2.45,52.00,4.68,10FEB2012
3,2,1,19APR2012,26.900,3.01,2.65,34.00,4.82,10FEB2012
3,2,1,24MAY2012,24.400,3.08,2.70,112.00,4.85,10FEB2012
3,2,1,28JUN2012,23.500,3.21,2.76,15.00,4.64,10FEB2012
3,2,1,26JUL2012,25.600,3.06,2.81,17.00,4.71,10FEB2012
3,2,1,30AUG2012,18.900,3.82,2.78,44.00,4.56,10FEB2012
3,2,1,27SEP2012,21.500,3.21,3.05,46.00,4.95,10FEB2012
3,2,1,25OCT2012,24.400,3.66,3.12,84.00,4.86,10FEB2012
3,2,1,22NOV2012,19.700,4.06,2.69,81.00,4.90,10FEB2012
3,2,1,20DEC2012,17.900,3.90,3.02,137.00,4.94,10FEB2012
3,2,1,05FEB2013,,,,,,10FEB2012
3,2,1,07MAR2013,,,,,,10FEB2012
3,2,1,04APR2013,,,,,,10FEB2012
3,2,1,09MAY2013,,,,,,10FEB2012
3,2,1,07JUN2013,,,,,,10FEB2012
3,2,1,04JUL2013,,,,,,10FEB2012
3,2,2,15AUG2013,29.400,2.79,3.18,72.00,4.47,06AUG2013
3,2,2,12SEP2013,28.600,3.79,2.72,1118.00,4.64,06AUG2013
3,2,2,10OCT2013,30.600,3.03,2.42,21.00,4.81,06AUG2013
3,2,2,07NOV2013,22.300,3.76,2.85,45.00,4.77,06AUG2013
3,2,2,16DEC2013,,,,,,06AUG2013
4,3,1,08AUG2012,27.400,3.46,2.83,28.00,4.59,21JUL2012
4,3,1,11SEP2012,32.800,2.93,2.92,11.00,4.79,21JUL2012
4,3,1,10OCT2012,30.800,3.33,3.16,27.00,4.70,21JUL2012
4,3,1,14NOV2012,26.400,3.73,3.21,33.00,4.66,21JUL2012
4,3,1,12DEC2012,20.600,4.17,3.41,23.00,4.52,21JUL2012
4,3,1,16JAN2013,23.600,3.70,3.41,20.00,4.53,21JUL2012
4,3,1,13FEB2013,24.200,3.56,3.16,16.00,4.63,21JUL2012
4,3,1,13MAR2013,22.000,3.93,3.39,19.00,4.62,21JUL2012
4,3,1,10APR2013,26.600,3.78,3.42,13.00,4.66,21JUL2012
4,3,1,08MAY2013,27.000,4.04,3.46,30.00,4.63,21JUL2012
4,3,1,08JUN2013,23.400,4.20,3.57,21.00,4.55,21JUL2012
4,3,1,24JUL2013,16.600,4.39,3.86,128.00,4.62,21JUL2012
4,3,1,21AUG2013,,,,,,21JUL2012
4,3,1,08OCT2013,,,,,,21JUL2012
4,3,2,14NOV2013,34.600,3.64,2.74,19.00,4.65,11OCT2013
4,3,2,17DEC2013,37.200,3.52,2.85,15.00,4.81,11OCT2013
4,3,2,15JAN2014,35.400,3.47,2.95,19.00,,11OCT2013
4,3,2,12FEB2014,35.000,3.78,3.24,63.00,4.66,11OCT2013
4,3,2,14MAR2014,34.000,3.58,3.10,10.00,4.69,11OCT2013
4,3,2,18APR2014,34.000,3.71,3.07,18.00,4.71,11OCT2013
4,3,2,14MAY2014,31.200,3.65,3.01,94.00,4.71,11OCT2013
4,3,2,11JUN2014,30.300,3.41,3.03,59.00,4.66,11OCT2013
4,3,2,09JUL2014,29.000,4.11,3.07,20.00,4.64,11OCT2013
4,3,2,13AUG2014,27.400,4.70,3.17,24.00,4.69,11OCT2013
4,3,2,10SEP2014,,,,,,11OCT2013
4,3,3,14OCT2014,0.000,,,,,28SEP2014
4,3,3,12NOV2014,22.200,4.26,3.96,199.00,4.55,28SEP2014
4,3,3,16DEC2014,27.000,3.90,3.75,47.00,4.56,28SEP2014
4,3,3,14JAN2015,24.800,4.69,3.83,41.00,4.64,28SEP2014
4,3,3,06FEB2015,21.400,4.13,3.55,31.00,4.64,28SEP2014
4,3,3,10MAR2015,25.600,4.23,3.63,37.00,4.64,28SEP2014
4,3,3,07APR2015,23.400,4.35,3.58,33.00,4.53,28SEP2014
4,3,3,12MAY2015,25.200,4.24,3.71,18.00,4.51,28SEP2014
4,3,3,17JUN2015,22.000,4.10,3.65,53.00,4.54,28SEP2014
4,3,3,22JUL2015,20.800,4.54,3.76,140.00,4.63,28SEP2014
4,3,3,12AUG2015,20.000,4.45,3.76,88.00,4.61,28SEP2014
4,3,3,08SEP2015,8.400,4.75,4.50,68.00,4.61,28SEP2014
4,3,3,15OCT2015,,,,,,28SEP2014
4,3,3,12NOV2015,,,,,,28SEP2014
4,3,3,10DEC2015,,,,,,28SEP2014
4,3,4,12JAN2016,,,,,,09DEC2015
5,3,1,13FEB2013,28.000,3.99,3.09,260.00,4.64,18JAN2013
5,3,1,13MAR2013,29.200,4.07,2.75,31.00,4.88,18JAN2013
5,3,1,10APR2013,26.800,3.90,3.28,339.00,4.64,18JAN2013
5,3,1,08MAY2013,27.400,3.66,3.46,1266.00,4.70,18JAN2013
5,3,1,08JUN2013,27.000,4.00,3.45,859.00,4.69,18JAN2013
5,3,1,24JUL2013,19.600,4.58,3.24,1377.00,4.74,18JAN2013
5,3,1,21AUG2013,23.600,4.07,3.65,1098.00,4.63,18JAN2013
5,3,1,08OCT2013,21.400,4.22,3.40,607.00,4.70,18JAN2013
5,3,1,14NOV2013,17.200,4.66,3.55,610.00,4.67,18JAN2013
5,3,1,17DEC2013,18.600,4.53,3.65,485.00,4.66,18JAN2013
5,3,1,15JAN2014,,,,,,18JAN2013
5,3,1,12FEB2014,,,,,,18JAN2013
5,3,1,14MAR2014,,,,,,18JAN2013
5,3,2,18APR2014,37.400,3.83,3.17,191.00,4.69,19MAR2014
5,3,2,14MAY2014,32.800,3.52,2.90,387.00,4.66,19MAR2014
5,3,2,11JUN2014,32.200,3.93,3.08,442.00,4.61,19MAR2014
5,3,2,09JUL2014,29.200,4.05,3.13,321.00,4.60,19MAR2014
5,3,2,13AUG2014,28.600,4.01,3.28,202.00,4.54,19MAR2014
5,3,2,10SEP2014,24.400,4.66,3.31,306.00,4.77,19MAR2014
5,3,2,14OCT2014,,,,,,19MAR2014
6,2,,,,,,,,
7,2,,,,,,,,
8,2,1,25OCT2012,27.200,3.57,2.91,77.00,4.24,11OCT2012
8,2,1,22NOV2012,26.000,3.65,2.50,20.00,4.28,11OCT2012
8,2,1,20DEC2012,19.900,1.47,2.93,44.00,4.52,11OCT2012
8,2,1,05FEB2013,25.000,2.54,2.93,10.00,4.42,11OCT2012
8,2,1,07MAR2013,40.600,3.88,3.02,36.00,4.44,11OCT2012
8,2,1,04APR2013,17.300,2.68,3.01,54.00,4.57,11OCT2012
8,2,1,09MAY2013,22.500,3.69,2.82,136.00,4.58,11OCT2012
8,2,1,07JUN2013,16.500,2.52,3.27,108.00,4.52,11OCT2012
8,2,1,04JUL2013,23.500,3.80,3.33,203.00,4.52,11OCT2012
8,2,1,15AUG2013,27.200,5.94,3.55,136.00,4.44,11OCT2012
8,2,1,12SEP2013,14.000,4.16,3.70,232.00,4.41,11OCT2012
8,2,1,10OCT2013,,,,,,11OCT2012
8,2,1,07NOV2013,,,,,,11OCT2012
8,2,1,16DEC2013,,,,,,11OCT2012
8,2,2,16JAN2014,22.700,3.56,2.66,33.00,4.37,18DEC2013
8,2,2,13FEB2014,24.900,2.38,2.78,10.00,4.33,18DEC2013
8,2,2,13MAR2014,23.100,2.48,2.94,34.00,4.46,18DEC2013
8,2,2,23APR2014,0.000,,,,,18DEC2013
8,2,2,13MAY2014,36.500,4.71,3.13,48.00,4.41,18DEC2013
8,2,2,12JUN2014,18.200,2.20,3.19,54.00,4.45,18DEC2013
8,2,2,10JUL2014,33.600,4.65,3.26,38.00,4.39,18DEC2013
8,2,2,06AUG2014,26.700,3.84,3.32,31.00,4.41,18DEC2013
8,2,2,18SEP2014,26.000,5.46,3.49,91.00,4.21,18DEC2013
8,2,2,09OCT2014,26.400,6.01,3.56,47.00,4.07,18DEC2013
8,2,2,13NOV2014,13.900,4.06,3.58,129.00,3.62,18DEC2013
8,2,2,11DEC2014,13.800,3.90,3.31,65.00,3.55,18DEC2013
8,2,2,20JAN2015,3.200,4.34,2.98,901.00,2.38,18DEC2013
8,2,2,12FEB2015,,,,,,18DEC2013
8,2,2,25MAR2015,,,,,,18DEC2013
8,2,2,15APR2015,,,,,,18DEC2013
8,2,2,21MAY2015,,,,,,18DEC2013
8,2,2,11JUN2015,,,,,,18DEC2013
8,2,2,09JUL2015,,,,,,18DEC2013
8,2,2,12AUG2015,,,,,,18DEC2013
8,2,2,10SEP2015,,,,,,18DEC2013
8,2,3,08OCT2015,40.400,2.99,2.44,1590.00,4.18,11SEP2015
8,2,3,19NOV2015,31.300,1.90,2.71,24.00,4.37,11SEP2015
8,2,3,09DEC2015,36.400,3.27,2.76,12.00,4.31,11SEP2015
8,2,3,14JAN2016,45.700,4.73,3.01,40.00,4.44,11SEP2015
8,2,3,24FEB2016,23.700,2.34,3.07,62.00,4.14,11SEP2015
8,2,3,30MAR2016,26.400,5.72,3.00,204.00,3.95,11SEP2015
8,2,3,20APR2016,31.200,3.57,3.10,126.00,3.88,11SEP2015
8,2,3,15JUN2016,26.200,4.73,3.25,224.00,3.93,11SEP2015
